standard_whisky_name,korean_name
Real Spirit Single Barrel American Whiskey by Korea Bourbon Whisky Club,리얼 스피릿 싱글배럴 아메리칸 위스키 by 한국 버번 위스키 클럽
Striker Texas Smoked Single Malt by Korea Bourbon Whisky Club,스트라이커 텍사스 스모크드 싱글몰트 위스키 by 한국 버번 위스키 클럽
Bunnahabhain Kumquat Wine Barrel Cask Strength,버니빌 금귤 와인 배럴 CS
Bunnybeer Lemon Wine Barrel Cask Strength,버니빌 레몬 와인 배럴 CS
Bunnybeer Rose Wine Barrel Cask Strength,버니빌 로즈 와인 배럴 CS
Bunnybeer Lychee Wine Barrel Cask Strength,버니빌 리치 와인 배럴 CS
Bunnybeer Mulberry Wine Barrel Cask Strength,버니빌 멀베리 와인 배럴 CS
Bunnybeer Single Malt No.19,버니빌 싱글몰트 No.19
Bunnybeer Single Malt No.19 Cask Strength,버니빌 싱글몰트 No.19 CS
Bunnybeer Oolong Tea Barrel Cask Strength,버니빌 우롱차 배럴 CS
Burnt Ends Blended,번트 엔즈 블렌디드 위스키
Bernheim Original 7 Year Old Kentucky Straight Wheat Whiskey,번하임 오리지날 7년 켄터키 스트레이트 위트 위스키
Version Francaise Castaing 2017,베르시옹 프랑세즈 까스탄 2017
Version Francaise Aichane 2017,베르시옹 프랑세즈 아이칸 2017
Very Olde St. Nick Summer Rye Cask Strength,베리 올드 세인트 닉 썸머 라이 CS
Very Olde St. Nick Winter Rye,베리 올드 세인트 닉 윈터 라이
Very Olde St. Nick Faith and Conviction,베리 올드 세인트 닉 훼이스 앤 컨빅션
Benrinnes 2005 La Maison du Whisky,벤리너스 2005 LMDW
Benrinnes 21 Year Old 2024 Special Release,벤리네스 21년 SR 2024
Bomberger's Declaration Kentucky Straight Bourbon 2022 Release,보머거스 데클러레이션 켄터키 스트레이트 버번 위스키(2022 릴리즈)
Bomberger's Declaration Kentucky Straight Bourbon 2023 Release,보머거스 데클러레이션 켄터키 스트레이트 버번 위스키(2023 릴리즈)
Bomberger's Declaration Kentucky Straight Bourbon 2024 Release,보머거스 데클러레이션 켄터키 스트레이트 버번 위스키(2024 릴리즈)
Bomberger's Declaration Kentucky Straight Bourbon 2025 Release,보머거스 데클라레이션 켄터키 스트레이트 버번 위스키 (2025 릴리즈)
Voodoo Dailuaine 10 Year Old Mask of Death,부두 달유인 10년 마스크 오브 데스
Voodoo Tormore 11 Year Old Nailed Puppet,부두 토모어 11년 네일드 퍼핏
Broken Barrel Small Batch,브로큰 배럴 스몰 배치
Broken Barrel Cask Strength,브로큰 배럴 캐스크 스트렝스
Broken Barrel Cask Strength Reserve Oak Port Cask,브로큰배럴 CS 리저브 오크 포트 캐스크
Sang Som,생솜
Ichawa Fauna 2025,이카와 파우나 2025
Ichawa Flora 2024,이카와 플로라 2024
The Maltman Master Blend 25 Year Old,더 몰트맨 마스터 블렌드 25년
The Maltman Balblair 13 Year Old Single Cask Whisky Park Choice,더 몰트맨 발블레어 13yo SC 위스키파크 초이스
Balvenie DoubleWood 17 Year Old,발베니 더블우드 17년
